id,name,author,team_size,slug,published,created,modified,comments,game_position,ludum_dare_version,data_authors,game_link,links_body,cool,feedback,given,grade,grade-01-average,grade-01-result,grade-02-average,grade-02-result,grade-03-average,grade-03-result,grade-04-average,grade-04-result,grade-05-average,grade-05-result,grade-06-average,grade-06-result,grade-07-average,grade-07-result,grade-08-average,grade-08-result,smart
357819,Neo City Express,"[59361, 314421, 368179]",3,neo-city-express,2023-05-02T01:09:05Z,2023-04-28T22:28:09Z,2024-11-07T14:22:37Z,46,1,53,https://api.ldjam.com/vx/node2/get/59361+314421+368179,/events/ludum-dare/53/neo-city-express,"['https://twitter.com/DualRyan', 'https://twitter.com/HelloCakebread', 'https://twitter.com/IsaInStars', 'https://twitter.com/saint11']",57.650803640104,27,14.25,50.142857142857,4.667,1,4.469,9,4.573,5,4.771,1,4.917,1,4.585,7,4.649,7,5,,-30.915072029224
365789,Rain On Their Parade!,"[315504, 316567, 316659, 316647, 316658, 361929, 188636]",7,rain-on-their-parade,2023-05-02T00:57:13Z,2023-04-30T20:17:17Z,2024-11-07T14:22:37Z,47,2,53,https://api.ldjam.com/vx/node2/get/315504+316567+316659+316647+316658+361929+188636,/events/ludum-dare/53/rain-on-their-parade,[],86.808073056954,58,46.25,62.375,4.615,2,4.541,2,4.23,42,3.942,563,4.861,4,4.653,3,4.433,22,4.492,15,-29.638266377466
367059,Little Oni,"[237623, 97711, 280272, 236387, 31737]",5,little-oni,2023-05-01T23:50:13Z,2023-05-01T20:04:33Z,2024-11-07T14:22:37Z,64,3,53,https://api.ldjam.com/vx/node2/get/237623+97711+280272+236387+31737,/events/ludum-dare/53/little-oni,"['https://javijavi7.itch.io/little-oni', 'https://youtu.be/G-81qi6r5I0']",73.760951499433,60,40.125,74.75,4.547,3,4.534,3,4.432,12,4.486,44,4.682,25,4.439,21,3.406,403,4.568,8,-26.478537790619
366942,Mya's Pizza,[7424],1,myas-pizza,2023-05-01T18:36:53Z,2023-05-01T18:35:59Z,2024-11-07T14:22:37Z,25,4,53,https://api.ldjam.com/vx/node2/get/7424,/events/ludum-dare/53/myas-pizza,['https://grizzly-games.itch.io/myas-pizza'],57.577924513691,11,7.625,24,4.545,4,4.5,5,3.614,358,4.614,8,4.659,30,4.455,18,3.432,384,4.318,55,-36.451109069776
350675,Superstar Surgeon: a Sensitive Subject,"[159213, 350665]",2,superstar-surgeon-a-sensitive-subject,2023-05-01T06:49:45Z,2023-04-27T13:42:03Z,2024-11-07T14:22:37Z,78,5,53,https://api.ldjam.com/vx/node2/get/159213+350665,/events/ludum-dare/53/superstar-surgeon-a-sensitive-subject,"['https://twitter.com/fupibr', 'https://youtu.be/DR8yBpEsF2U', 'https://www.ovliverso.com.br/', 'https://youtube.com/playlist?list=PLq4SXHLIukakx_WactNtfIRkEAtRgVKn-', 'https://fupi.itch.io/superstar-surgeon-a-sensitive-subject']",86.076715600231,71,38.25,52.625,4.539,5,4.37,20,4.27,35,4.27,208,4.5,82,4.83,1,4.663,6,4.373,36,-9.1057829605946
338097,SWAN SONG,"[25021, 93735, 26231, 3784, 28403]",5,swan-song,2023-05-01T22:34:18Z,2023-04-24T20:33:51Z,2024-11-07T14:22:37Z,32,6,53,https://api.ldjam.com/vx/node2/get/25021+93735+26231+3784+28403,/events/ludum-dare/53/swan-song,"['https://www.instagram.com/cardcade_wmg', 'https://twitter.com/windmillgames', 'https://www.linkedin.com/mwlite/in/milankovarbasic', 'https://twitter.com/ebernerd', 'https://www.youtube.com/user/devjeeper']",96.411379956009,46,26.375,33.571428571429,4.532,6,4.21,43,4.05,92,4.065,431,4.645,35,4.581,8,3.375,,4.633,4,3.3572973896608
346141,The Bear of Bad News,"[280755, 279497, 280764, 346183]",4,the-bear-of-bad-news,2023-05-02T00:55:34Z,2023-04-26T17:21:16Z,2024-11-07T14:22:37Z,27,7,53,https://api.ldjam.com/vx/node2/get/280755+279497+280764+346183,/events/ludum-dare/53/the-bear-of-bad-news,"['https://welldweller.github.io/the-bear-of-bad-news/', 'https://soundcloud.com/d-a-n-i-e-l-2-3']",82.052868733072,40,25.5,38.875,4.5,7,4.392,16,4.189,49,4.608,10,4.581,48,4.122,86,4.77,4,4.306,62,-5.1147248827111
362444,Special Delivery,[80860],1,special-delivery-4,2023-05-02T01:21:30Z,2023-04-29T15:17:19Z,2024-11-07T14:22:37Z,82,8,53,https://api.ldjam.com/vx/node2/get/80860,/events/ludum-dare/53/special-delivery-4,[],62.997663033266,58,34.875,88.875,4.489,8,4.517,4,4.383,18,4.618,7,4.455,106,4.343,38,3.25,495,3.977,223,-32.078219376307
367064,Beelivery,"[43351, 336528, 342042, 362024]",4,beelivery-1,2023-05-02T00:58:22Z,2023-05-01T20:07:23Z,2024-11-07T14:22:37Z,117,9,53,https://api.ldjam.com/vx/node2/get/43351+336528+342042+362024,/events/ludum-dare/53/beelivery-1,"['https://youtu.be/xibGzgzOGlQ', 'https://samanthavandersluis.bandcamp.com/album/beelivery-original-soundtrack']",85.220302745297,76,72.625,127.75,4.476,9,4.44,14,4.258,37,4.452,59,4.54,67,4.54,12,4.198,57,4.397,30,-45.240657666084
356193,DeliverMe,"[13080, 350452]",2,deliverme,2023-05-01T22:02:44Z,2023-04-28T16:58:23Z,2024-11-07T14:22:37Z,21,10,53,https://api.ldjam.com/vx/node2/get/13080+350452,/events/ludum-dare/53/deliverme,[],85.509227320736,22,17,24.25,4.413,10,4.37,20,4.261,36,4.196,280,4.652,32,4.341,39,3.974,114,4.136,124,2.4941486381076
