id,name,author,slug,published,created,modified,path,comments,game_position,ludum_dare_version,data_authors,cool,feedback,given,grade,grade-01-average,grade-01-result,grade-02-average,grade-02-result,grade-03-average,grade-03-result,grade-04-average,grade-04-result,grade-05-average,grade-05-result,grade-06-average,grade-06-result,grade-07-average,grade-07-result,grade-08-average,grade-08-result,smart
247843,Pâquerette Down the Bunburrow,"[221101, 221116, 11075]",paquerette-down-the-bunburrow,2021-04-27T00:54:01Z,2021-04-24T18:38:38Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/paquerette-down-the-bunburrow,84,23,48,https://api.ldjam.com/vx/node2/get/221101+221116+11075,64.51743950282,60,41.625,102.125,4.347,23,4.297,29,4.035,133,3.955,479,4.485,89,4.361,39,3.876,154,4.086,231,-35.337919388644
245148,Sleepie Cookie Eatie,"[48706, 105620, 251917]",sleepie-cookie-eatie,2021-04-27T01:19:13Z,2021-04-23T22:15:19Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/sleepie-cookie-eatie,40,24,48,https://api.ldjam.com/vx/node2/get/48706+105620+251917,75.128755459592,50,27.375,49.5,4.34,24,4.302,28,4.01,149,4.396,51,4.602,47,4.554,5,3.556,304,3.888,410,-11.43851144599
240786,Palette's Bottomless Backpack,"[240782, 233378, 262366]",palettes-bottomless-backpack,2021-04-27T00:51:45Z,2021-04-20T21:41:13Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/palettes-bottomless-backpack,24,25,48,https://api.ldjam.com/vx/node2/get/240782+233378+262366,82.669044111272,16,17,25.875,4.333,25,4.313,27,4.479,9,4.688,1,4.313,212,4.042,159,4.625,3,4.37,62,-7.4897868617539
242257,improbability engine,[817],improbability-engine,2021-04-27T00:51:58Z,2021-04-22T15:53:19Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/improbability-engine,22,25,48,https://api.ldjam.com/vx/node2/get/817,77.723584782222,1,22.125,37.625,4.333,25,4.042,112,4.23,56,4.149,217,4.597,51,3.629,515,3.364,418,4.229,125,-35.815879464593
250730,Underneath,"[218278, 50696, 182408]",underneath,2021-04-27T00:53:03Z,2021-04-26T11:19:41Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/underneath,47,27,48,https://api.ldjam.com/vx/node2/get/218278+50696+182408,52.264272310304,2,21.75,80.625,4.325,27,4.281,33,3.869,252,3.419,1204,4.463,100,4.119,116,3.19,520,4.013,295,-55.452316288824
252710,Chess Hellevator,[4894],chess-hellevator,2021-04-27T01:28:26Z,2021-04-27T01:13:19Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/chess-hellevator,50,28,48,https://api.ldjam.com/vx/node2/get/4894,119.59945361091,127,97.625,69.25,4.324,28,4.419,14,4.515,7,3.772,744,3.868,680,3.784,349,3.641,254,3.97,333,-5.1499088435465
250916,Asteroid Breaker,[101641],asteroid-breaker,2021-04-26T20:24:50Z,2021-04-26T14:44:48Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/asteroid-breaker,23,29,48,https://api.ldjam.com/vx/node2/get/101641,148.81832096677,35,49,30.833333333333,4.321,29,4.321,25,4,153,4.446,36,4.308,220,4.071,150,2.5,,4.75,,1.8446877629458
235752,Blackout,"[188483, 188482, 12617, 235765, 187994]",blackout,2021-04-27T01:31:21Z,2021-03-31T10:59:08Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/blackout,261,30,48,https://api.ldjam.com/vx/node2/get/188483+188482+12617+235765+187994,100,216,150.875,398.625,4.319,30,3.981,166,3.31,796,3.198,1436,4.663,28,4.497,13,4.159,67,4.465,43,-61.93595460327
251452,Deep Down 2,"[78208, 11939, 48875, 113477]",deep-down-2,2021-04-26T19:37:58Z,2021-04-26T19:36:45Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/deep-down-2,37,31,48,https://api.ldjam.com/vx/node2/get/78208+11939+48875+113477,18.946618668627,1,0.875,33.833333333333,4.313,31,4.453,11,3.766,325,3.531,1061,4.344,184,3.887,272,,,,,-80.132014644024
244925,Deep Cover,"[138827, 167106, 153648, 188745, 245203, 245351]",deep-cover-2,2021-04-27T01:34:24Z,2021-04-23T21:17:36Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/deep-cover-2,37,32,48,https://api.ldjam.com/vx/node2/get/138827+167106+153648+188745+245203+245351,124.43420336765,103,84,55.25,4.306,32,4.204,57,4.065,114,4.139,231,4.546,63,4.296,57,4.245,50,4.34,77,1.7770393411588
