id,name,author,team_size,slug,published,created,modified,comments,game_position,ludum_dare_version,data_authors,game_link,links_body,cool,feedback,given,grade,grade-01-average,grade-01-result,grade-02-average,grade-02-result,grade-03-average,grade-03-result,grade-04-average,grade-04-result,grade-05-average,grade-05-result,grade-06-average,grade-06-result,grade-07-average,grade-07-result,grade-08-average,grade-08-result,smart
221238,Chamber,[59361],1,chamber,2020-10-05T22:11:26Z,2020-10-02T19:31:57Z,2024-04-16T02:37:33Z,36,1,47,https://api.ldjam.com/vx/node2/get/59361,/events/ludum-dare/47/chamber,"['https://twitter.com/amora_b', 'https://twitter.com/saint11']",18.769750212382,0,1.625,47.125,4.576,1,4.38,9,3.652,459,4.272,100,4.87,2,4.337,38,3.333,381,4.522,13,-81.812399716531
226748,Caterpillar Cowboy,"[56275, 66766]",2,caterpillar-cowboy,2020-10-05T21:52:01Z,2020-10-05T17:51:42Z,2024-04-16T02:37:33Z,61,2,47,https://api.ldjam.com/vx/node2/get/56275+66766,/events/ludum-dare/47/caterpillar-cowboy,"['https://youtu.be/544Z51WIdoo', 'https://twitch.tv/foxdogstudios', 'https://twitter.com/foxdogstudios']",78.325400867488,82,46.625,88,4.569,2,4.5,2,4.167,63,4.494,18,4.343,139,4.693,3,4.554,4,,,-29.289321881345
221212,Smells Like Chlorine,"[219776, 221205]",2,smells-like-chlorine,2020-10-05T22:34:08Z,2020-10-02T19:23:51Z,2024-04-16T02:37:33Z,53,3,47,https://api.ldjam.com/vx/node2/get/219776+221205,/events/ludum-dare/47/smells-like-chlorine,['https://www.youtube.com/watch?v=i6MKETIienw'],123.29924047902,68,84.375,75.333333333333,4.534,3,4.158,55,4.171,62,4.358,59,,,4.384,31,,,4.682,3,-20.399705424215
213001,BULLETS FROM THE PAST,"[4827, 4840]",2,bullets-from-the-past,2020-10-05T15:11:55Z,2020-09-18T07:33:29Z,2024-04-16T02:37:33Z,29,4,47,https://api.ldjam.com/vx/node2/get/4827+4840,/events/ludum-dare/47/bullets-from-the-past,[],77.401492175481,28,16.625,28.75,4.5,4,4.411,6,4.321,26,4.679,4,4.732,14,4.148,79,2.833,695,4.077,136,-0.4282674925764
216266,A Monster Hunter Story,[119863],1,a-monster-hunter-story,2020-10-05T19:23:14Z,2020-09-28T20:16:04Z,2024-04-16T02:37:33Z,30,5,47,https://api.ldjam.com/vx/node2/get/119863,/events/ludum-dare/47/a-monster-hunter-story,[],108.31746519988,36,29.625,30,4.482,5,4.429,5,4,123,4.482,20,4.268,186,,,3.982,110,4.429,21,-4.2572892243662
227326,Everything is Garbage,"[74404, 45810, 227352, 104957]",4,everything-is-garbage,2020-10-05T22:47:06Z,2020-10-05T21:05:54Z,2024-04-16T02:37:33Z,23,6,47,https://api.ldjam.com/vx/node2/get/74404+45810+227352+104957,/events/ludum-dare/47/everything-is-garbage,[],78.275054308407,11,24.125,46.142857142857,4.466,6,4.352,13,4.034,112,3.795,605,4.682,21,4.078,108,4.318,25,,,-33.704453086335
226636,Enclosed,"[91642, 83272, 90281, 169208]",4,enclosed,2020-10-05T19:59:00Z,2020-10-05T16:52:39Z,2024-04-16T02:37:33Z,22,7,47,https://api.ldjam.com/vx/node2/get/91642+83272+90281+169208,/events/ludum-dare/47/enclosed,[],134.48087738775,2,42.5,24.5,4.458,7,4.229,28,4.729,1,4.688,2,4.479,77,4.042,121,2.25,,4.432,20,-24.407105398155
216993,Cycle Breakdown,[216194],1,cycle-breakdown,2020-10-05T22:35:13Z,2020-09-29T18:03:58Z,2024-04-16T02:37:33Z,57,8,47,https://api.ldjam.com/vx/node2/get/216194,/events/ludum-dare/47/cycle-breakdown,[],92.11664984368,25,51.125,81.666666666667,4.438,8,4.544,1,3.938,180,4.131,220,4.475,82,,,,,4.399,28,-42.14798202506
221884,Dreamin' Cat,"[6786, 219452]",2,dreamin-cat,2020-10-05T19:53:07Z,2020-10-02T21:41:49Z,2024-04-16T02:37:33Z,39,9,47,https://api.ldjam.com/vx/node2/get/6786+219452,/events/ludum-dare/47/dreamin-cat,[],88.326714979606,13,36.375,47.625,4.436,9,4.217,31,3.433,692,4.298,90,4.75,11,4.378,33,3.476,311,4.522,13,-33.844196544908
216782,Wizard Recurse,[80860],1,wizard-recurse,2020-10-05T21:01:39Z,2020-09-29T12:46:29Z,2024-04-16T02:37:33Z,69,10,47,https://api.ldjam.com/vx/node2/get/80860,/events/ludum-dare/47/wizard-recurse,[],136.97867678853,98,89.125,48.5,4.426,10,4.234,25,4.16,65,4.34,64,4.309,156,4.362,35,3.395,357,4.277,66,-0.38835098164955
