rank,author,composite_score,count,team_size,grade,game_position,performance_score,game_link,Fun_score,Fun_rank,Overall_score,Overall_rank,Mood_score,Mood_rank,Graphics_score,Graphics_rank,Innovation_score,Innovation_rank,Audio_score,Audio_rank,Theme_score,Theme_rank,Humor_score,Humor_rank
1,12867,2002.512136,8,4,117.85714285714,"[5.0, 5.0]",7.2110892,/events/ludum-dare/48/boombox,10.831199999999999,5.0,10.768799999999999,5.0,0.5835199999999999,,0.6617799999999999,,0.60942,,0.0,,0.58646,,0.5264,
1,91279,2002.512136,10,4,117.85714285714,"[5.0, 5.0]",7.2110892,/events/ludum-dare/48/boombox,10.831199999999999,5.0,10.768799999999999,5.0,0.5835199999999999,,0.6617799999999999,,0.60942,,0.0,,0.58646,,0.5264,
1,5221,2002.512136,10,4,117.85714285714,"[5.0, 5.0]",7.2110892,/events/ludum-dare/48/boombox,10.831199999999999,5.0,10.768799999999999,5.0,0.5835199999999999,,0.6617799999999999,,0.60942,,0.0,,0.58646,,0.5264,
1,81196,2002.512136,9,4,117.85714285714,"[5.0, 5.0]",7.2110892,/events/ludum-dare/48/boombox,10.831199999999999,5.0,10.768799999999999,5.0,0.5835199999999999,,0.6617799999999999,,0.60942,,0.0,,0.58646,,0.5264,
5,103086,1970.660912,4,9,195.75,"[130.0, 194.0]",0.5551364,/events/ludum-dare/46/friendly-fire-2,0.54992,194.0,0.574,130.0,0.5502,,0.57694,,0.46227999999999997,,0.5444599999999999,,0.5329799999999999,,0.58646,
6,139870,1960.6609120000003,3,9,195.75,"[130.0, 194.0]",0.5551364,/events/ludum-dare/46/friendly-fire-2,0.54992,194.0,0.574,130.0,0.5502,,0.57694,,0.46227999999999997,,0.5444599999999999,,0.5329799999999999,,0.58646,
6,139741,1960.6609120000003,3,9,195.75,"[130.0, 194.0]",0.5551364,/events/ludum-dare/46/friendly-fire-2,0.54992,194.0,0.574,130.0,0.5502,,0.57694,,0.46227999999999997,,0.5444599999999999,,0.5329799999999999,,0.58646,
8,176806,1950.660912,2,9,195.75,"[130.0, 194.0]",0.5551364,/events/ludum-dare/46/friendly-fire-2,0.54992,194.0,0.574,130.0,0.5502,,0.57694,,0.46227999999999997,,0.5444599999999999,,0.5329799999999999,,0.58646,
8,204593,1950.660912,2,9,195.75,"[130.0, 194.0]",0.5551364,/events/ludum-dare/46/friendly-fire-2,0.54992,194.0,0.574,130.0,0.5502,,0.57694,,0.46227999999999997,,0.5444599999999999,,0.5329799999999999,,0.58646,
8,176953,1950.660912,2,9,195.75,"[130.0, 194.0]",0.5551364,/events/ludum-dare/46/friendly-fire-2,0.54992,194.0,0.574,130.0,0.5502,,0.57694,,0.46227999999999997,,0.5444599999999999,,0.5329799999999999,,0.58646,
