author,count,file_name,team_size,ludum_dare_version,game_link,id,cool,feedback,given,grade,grade-01-average,grade-01-result,grade-02-average,grade-02-result,grade-03-average,grade-03-result,grade-04-average,grade-04-result,grade-05-average,grade-05-result,grade-06-average,grade-06-result,grade-07-average,grade-07-result,grade-08-average,grade-08-result,smart
240777,1,ludum_dare_games_48.csv,4,48,/events/ludum-dare/48/dwammings,241279,96.329837588578,86,66.0,72.125,4.05,166,3.824,281.0,3.821,279.0,4.38,62.0,4.373,162.0,3.761,378.0,3.543,310.0,3.906,391.0,-10.63428712961
240775,2,ludum_dare_games_48.csv,4,48,/events/ludum-dare/48/dwammings,241279,96.329837588578,86,66.0,72.125,4.05,166,3.824,281.0,3.821,279.0,4.38,62.0,4.373,162.0,3.761,378.0,3.543,310.0,3.906,391.0,-10.63428712961
240775,2,ludum_dare_games_51.csv,1,51,/events/ludum-dare/51/burger-rush,302859,117.20543247675,105,66.625,56.571428571429,4.009,124,4.098,73.0,3.491,437.0,3.955,294.0,3.884,399.0,,,3.157,409.0,3.558,480.0,1.1173531156923
237443,1,ludum_dare_games_48.csv,1,48,/events/ludum-dare/48/deep-dream,237444,92.962225170453,38,26.25,31.375,4.048,167,3.817,290.0,4.317,39.0,3.833,651.0,4.4,139.0,4.033,161.0,2.239,1249.0,4.097,224.0,2.4789271115311
93368,1,ludum_dare_games_48.csv,3,48,/events/ludum-dare/48/the-deep,239625,116.43525576057,113,93.375,69.875,4.043,170,3.636,486.0,4.307,41.0,4.493,23.0,4.286,242.0,4.179,97.0,2.74,849.0,4.387,60.0,-12.229254852749
247653,1,ludum_dare_games_48.csv,2,48,/events/ludum-dare/48/abys-life,251459,92.582009977255,22,18.0,25.142857142857,4.042,172,3.5,653.0,3.522,563.0,4.583,9.0,4.688,21.0,,,2.395,1139.0,4.75,1.0,-1.2138008792259
163050,3,ludum_dare_games_48.csv,2,48,/events/ludum-dare/48/abys-life,251459,92.582009977255,22,18.0,25.142857142857,4.042,172,3.5,653.0,3.522,563.0,4.583,9.0,4.688,21.0,,,2.395,1139.0,4.75,1.0,-1.2138008792259
163050,3,ludum_dare_games_52.csv,2,52,/events/ludum-dare/52/doki-doki-ninjin,314513,40.956310317687,24,16.25,97.875,4.062,63,4.005,65.0,3.203,463.0,3.714,405.0,4.242,120.0,3.766,136.0,3.613,135.0,3.974,119.0,-47.611072296998
163050,3,ludum_dare_games_51.csv,2,51,/events/ludum-dare/51/homerun-for-your-life,300223,56.479767684597,27,11.125,35.875,3.971,146,3.765,251.0,3.647,296.0,4.132,163.0,4.5,51.0,3.574,331.0,4.485,5.0,4.061,110.0,-19.894206759129
5877,2,ludum_dare_games_48.csv,3,48,/events/ludum-dare/48/dieper-deaper,238141,113.01685089739,143,89.25,70.875,4.037,173,4.0,145.0,3.623,454.0,3.696,845.0,3.929,607.0,4.029,164.0,4.088,85.0,4.015,293.0,-5.2318527820887
5877,2,ludum_dare_games_51.csv,4,51,/events/ludum-dare/51/deploy-helper-robot,297278,113.97523282604,75,50.5,39.875,4.0,125,3.897,171.0,3.538,403.0,4.188,129.0,4.188,201.0,3.974,119.0,2.667,675.0,3.778,270.0,-11.064042593707
238142,2,ludum_dare_games_48.csv,3,48,/events/ludum-dare/48/dieper-deaper,238141,113.01685089739,143,89.25,70.875,4.037,173,4.0,145.0,3.623,454.0,3.696,845.0,3.929,607.0,4.029,164.0,4.088,85.0,4.015,293.0,-5.2318527820887
238142,2,ludum_dare_games_51.csv,4,51,/events/ludum-dare/51/deploy-helper-robot,297278,113.97523282604,75,50.5,39.875,4.0,125,3.897,171.0,3.538,403.0,4.188,129.0,4.188,201.0,3.974,119.0,2.667,675.0,3.778,270.0,-11.064042593707
238226,2,ludum_dare_games_48.csv,3,48,/events/ludum-dare/48/dieper-deaper,238141,113.01685089739,143,89.25,70.875,4.037,173,4.0,145.0,3.623,454.0,3.696,845.0,3.929,607.0,4.029,164.0,4.088,85.0,4.015,293.0,-5.2318527820887
238226,2,ludum_dare_games_51.csv,4,51,/events/ludum-dare/51/deploy-helper-robot,297278,113.97523282604,75,50.5,39.875,4.0,125,3.897,171.0,3.538,403.0,4.188,129.0,4.188,201.0,3.974,119.0,2.667,675.0,3.778,270.0,-11.064042593707
