id,name,author,team_size,slug,published,created,modified,comments,game_position,ludum_dare_version,data_authors,game_link,links_body,cool,feedback,given,grade,grade-01-average,grade-01-result,grade-02-average,grade-02-result,grade-03-average,grade-03-result,grade-04-average,grade-04-result,grade-05-average,grade-05-result,grade-06-average,grade-06-result,grade-07-average,grade-07-result,grade-08-average,grade-08-result,smart
203017,Keep It Alive by Ismael Rodriguez - Ludum Dare 46,[80860],1,keep-it-alive-by-ismael-rodriguez-ludum-dare-46,2020-04-21T00:28:35Z,2020-04-21T00:07:05Z,2024-10-08T18:23:15Z,65,1,46,https://api.ldjam.com/vx/node2/get/80860,/events/ludum-dare/46/keep-it-alive-by-ismael-rodriguez-ludum-dare-46,[],95.984971501263,47,35.125,39.125,4.605,1,4.408,11,4.351,22,4.458,23,4.592,67,4.237,57,3.889,199,4.181,126,-3.2441106306207
190480,Firekeeper,"[8851, 201050]",2,firekeeper-2,2020-04-20T21:03:44Z,2020-04-17T13:43:15Z,2024-10-08T18:23:15Z,33,2,46,https://api.ldjam.com/vx/node2/get/8851+201050,/events/ludum-dare/46/firekeeper-2,[],80.08354300468,35,26.375,42.125,4.561,2,4.39,14,3.915,196,4.524,12,4.774,11,4.341,28,3,1043,4.476,23,-12.680853009864
183981,Lay Down Your Roots,"[5017, 108991]",2,lay-down-your-roots,2020-04-21T00:53:32Z,2020-04-12T17:38:32Z,2024-10-08T18:23:15Z,31,3,46,https://api.ldjam.com/vx/node2/get/5017+108991,/events/ludum-dare/46/lay-down-your-roots,"['https://www.youtube.com/watch?v=D-iyLSRMyDw', 'http://love2d.org']",95.145318218751,23,21.5,28.285714285714,4.558,3,4.308,24,4.327,26,4.231,144,4.154,457,4.36,26,2,,4.519,17,-10.095669342217
184664,THE SECRET FLAME,"[42996, 49332]",2,sgfgdfgfdgfdgfd,2020-04-21T02:00:10Z,2020-04-13T15:32:12Z,2024-10-08T18:23:15Z,51,4,46,https://api.ldjam.com/vx/node2/get/42996+49332,/events/ludum-dare/46/sgfgdfgfdgfdgfd,"['https://www.twitter.com/jibishop/', 'https://youtu.be/3_9D0ZaQb1o', 'https://www.artstation.com/orikmcfly', 'https://www.artstation.com/lucasprince', 'https://soundcloud.com/drjedd/sets/ldjam46-keep-it-alive', 'https://www.instagram.com/bishopjimm/', 'https://www.instagram.com/doctorjedd/', 'https://www.twitter.com/CGronnet/', 'https://www.twitter.com/thomaslean/', 'https://www.youtube.com/DrJedd']",61.404330492879,22,20.125,54.375,4.519,4,3.943,183,3.651,530,3.49,1583,4.792,6,4.548,7,3.029,1015,4.548,11,-32.682911427013
193838,HEAL ME PLZ,"[191, 27577, 107325]",3,heal-me-plz,2020-04-21T01:25:05Z,2020-04-18T00:12:31Z,2024-10-08T18:23:15Z,71,5,46,https://api.ldjam.com/vx/node2/get/191+27577+107325,/events/ludum-dare/46/heal-me-plz,"['https://twitter.com/OverboyYT', 'https://twitter.com/RADIANT_prk', 'https://www.artstation.com/lucas_depinho', 'https://twitter.com/Zylvaingue', 'https://twitter.com/pandanym']",88.957776529593,60,77.75,99.25,4.485,5,4.438,7,4.263,38,4.566,7,4.658,33,4.299,39,4.294,37,4.26,82,-42.103926668015
179224,Don't Kill Death (Or Die Trying),[179214],1,dont-kill-death-or-die-trying,2020-04-20T23:05:00Z,2020-03-13T09:26:11Z,2024-10-08T18:23:15Z,51,6,46,https://api.ldjam.com/vx/node2/get/179214,/events/ludum-dare/46/dont-kill-death-or-die-trying,['http://www.MadeByChaz.com'],65.716193150749,61,28.125,66.125,4.484,6,4.538,3,4.141,68,4.285,99,4.623,51,4.328,33,4.398,20,4.25,86,-17.668969943028
202046,Dino spin,"[130085, 202071, 202067]",3,dino-spin,2020-04-20T22:30:11Z,2020-04-20T20:58:15Z,2024-10-08T18:23:15Z,80,7,46,https://api.ldjam.com/vx/node2/get/130085+202071+202067,/events/ludum-dare/46/dino-spin,"['https://relixes.itch.io/dino-spin', 'https://relixes.itch.io/dino-spin/devlog/140348/dino-spin-v10016']",59.922151771198,18,25,80.714285714286,4.443,7,4.468,5,4.285,34,4.532,10,4.558,79,4.051,154,,,4.179,127,-55.131508317798
183913,Body and Soul,[182228],1,body-and-soul,2020-04-20T21:11:06Z,2020-04-12T15:45:10Z,2024-10-08T18:23:15Z,33,8,46,https://api.ldjam.com/vx/node2/get/182228,/events/ludum-dare/46/body-and-soul,[],69.637616202462,27,20.125,42.5,4.439,8,4.537,4,3.671,492,4.5,14,4.607,59,4.163,94,3.566,445,4.05,214,-25.609270856347
193425,Mis Vacas,"[193419, 205894]",2,mis-vacas,2020-04-20T22:16:05Z,2020-04-17T23:17:58Z,2024-10-08T18:23:15Z,49,9,46,https://api.ldjam.com/vx/node2/get/193419+205894,/events/ludum-dare/46/mis-vacas,[],84.313423104805,26,33.5,48.125,4.424,9,4.447,6,3.734,408,4.383,38,4.404,180,4.37,25,4.067,117,4.193,117,-24.884639517921
198821,Blood and Volts,"[198146, 172979]",2,blood-and-volts,2020-04-20T23:29:07Z,2020-04-19T17:59:40Z,2024-10-08T18:23:15Z,22,10,46,https://api.ldjam.com/vx/node2/get/198146+172979,/events/ludum-dare/46/blood-and-volts,[],97.801929384365,11,16.5,20.857142857143,4.421,10,4.421,10,3.816,291,4.184,196,4.632,45,4.289,44,,,3.639,774,-2.0272374210166
