id,name,author,team_size,slug,published,created,modified,comments,game_position,ludum_dare_version,data_authors,game_link,links_body,cool,feedback,given,grade,grade-01-average,grade-01-result,grade-02-average,grade-02-result,grade-03-average,grade-03-result,grade-04-average,grade-04-result,grade-05-average,grade-05-result,grade-06-average,grade-06-result,grade-07-average,grade-07-result,grade-08-average,grade-08-result,smart
153090,Coin-Op Kid,"[8735, 19409, 1668, 93526]",4,coin-op-kid,2019-04-29T13:43:09Z,2019-04-29T13:16:30Z,2023-08-06T01:56:53Z,45,1,44,https://api.ldjam.com/vx/node2/get/8735+19409+1668+93526,/events/ludum-dare/44/coin-op-kid,['https://cosmicadventuresquad.itch.io/coin-op-kid'],82.158383625775,33,20.25,31,4.534,1,4.552,1,4.45,6,4.65,1,4.517,39,4,65,3.204,326,4.089,64,8.8799279466947
149306,Consume,"[9110, 122697]",2,consume,2019-04-30T01:28:05Z,2019-04-27T02:08:50Z,2023-08-06T01:56:53Z,23,2,44,https://api.ldjam.com/vx/node2/get/9110+122697,/events/ludum-dare/44/consume,[],87.191393963433,12,16.25,22.375,4.524,2,4.381,3,4.5,3,3.738,239,4.065,234,4.125,41,2.735,609,3.868,133,-1.3755813386758
146214,Drytown,"[3040, 76863, 80062, 80128]",4,drytown,2019-04-28T06:57:32Z,2019-04-25T19:35:32Z,2023-08-06T01:56:53Z,76,3,44,https://api.ldjam.com/vx/node2/get/3040+76863+80062+80128,/events/ludum-dare/44/drytown,"['https://twitter.com/ftalocianina', 'https://twitter.com/davidpixel', 'https://twitter.com/sercante_', 'https://incompetech.com/wordpress/', 'https://twitter.com/eliphas343']",85.348856374455,37,70.75,112.14285714286,4.45,3,4.216,16,3.653,162,4.586,2,4.608,24,,,3.949,56,4.449,9,-22.018163830591
146667,SACRIFIGHTS,"[37078, 12729]",2,sacrifights,2019-04-29T21:10:53Z,2019-04-26T06:30:30Z,2023-08-06T01:56:53Z,41,4,44,https://api.ldjam.com/vx/node2/get/37078+12729,/events/ludum-dare/44/sacrifights,[],50.503537375608,16,15.75,62.75,4.418,4,4.167,26,3.783,96,3.926,119,4.895,1,4.549,3,3.883,69,4.361,17,-47.0626796862
150795,Lousy Life Lessons - [LLL],"[14368, 108223]",2,lousy-life-lessons,2019-04-30T01:41:02Z,2019-04-27T19:12:34Z,2023-08-06T01:56:53Z,60,5,44,https://api.ldjam.com/vx/node2/get/14368+108223,/events/ludum-dare/44/lousy-life-lessons,['https://youtu.be/lyROPTd0A_w'],92.659001267049,61,64.5,76.125,4.412,5,4.128,30,3.459,273,3.781,207,4.72,13,4.52,6,4.207,15,4.581,4,-1.8862500855663
153866,missed messages.,[33090],1,missed-message,2019-04-30T00:56:19Z,2019-04-29T22:57:19Z,2023-08-06T01:56:53Z,47,6,44,https://api.ldjam.com/vx/node2/get/33090,/events/ludum-dare/44/missed-message,"['https://zephyo.tumblr.com', 'https://twitter.com/zephybite']",33.549085316013,7,6.5,67.142857142857,4.381,6,3.634,238,3.284,405,3.078,770,4.853,2,,,2.955,471,4.687,1,-63.024501355627
140809,Path of Redemption,"[25021, 26231, 3784, 91644, 6617, 93783, 93735]",7,path-of-redemption,2019-04-29T23:31:50Z,2019-04-04T23:48:40Z,2023-08-06T01:56:53Z,53,7,44,https://api.ldjam.com/vx/node2/get/25021+26231+3784+91644+6617+93783+93735,/events/ludum-dare/44/path-of-redemption,[],122.28356810315,73,104.75,67.875,4.343,7,4.179,22,3.321,374,3.761,219,4.463,56,4.341,13,3.246,306,4.06,70,12.889391587363
139767,Digital Gray,"[10732, 127908, 16682]",3,digital-grey,2019-04-29T23:24:09Z,2019-03-18T17:51:43Z,2023-08-06T01:56:53Z,33,8,44,https://api.ldjam.com/vx/node2/get/10732+127908+16682,/events/ludum-dare/44/digital-grey,"['https://twitter.com/Fusionnist', 'https://twitter.com/EssenceArtThing', 'https://twitter.com/theDistort']",95.683882683582,38,33.875,38,4.319,8,4.292,8,3.556,209,3.847,160,4.27,117,4.375,11,3.271,296,4.264,35,17.191152540481
144217,Knock Knock... The travelling soulsman,"[21078, 12698, 12700, 2545, 569, 6824, 145020, 145056, 68404]",9,knock-knock-the-travelling-soulsman,2019-04-30T00:51:35Z,2019-04-23T11:53:39Z,2023-08-06T01:56:53Z,62,9,44,https://api.ldjam.com/vx/node2/get/21078+12698+12700+2545+569+6824+145020+145056+68404,/events/ludum-dare/44/knock-knock-the-travelling-soulsman,[],112.41988546387,50,151.75,80.125,4.316,9,4.184,20,3.782,97,3.923,124,4.665,19,4.316,16,4.359,4,4.404,13,-5.0128619708045
153903,Dear Substance of Kin,[36196],1,dear-substance-of-kin,2019-04-30T01:33:53Z,2019-04-29T23:10:59Z,2023-08-06T01:56:53Z,44,10,44,https://api.ldjam.com/vx/node2/get/36196,/events/ludum-dare/44/dear-substance-of-kin,"['https://twitter.com/marineteta', 'https://twitter.com/ivanpapiol', 'https://twitter.com/jordidepaco', 'https://twitter.com/thefingerspit']",96.968990273318,1,55.125,59.625,4.28,10,3.339,493,3.873,63,4.449,6,4.783,5,4.653,1,2.979,447,4.669,2,-10.200933994339
149124,Escape from the Mint,"[26104, 9897, 11750, 5086]",4,escape-from-the-mint,2019-04-30T01:39:46Z,2019-04-27T01:05:06Z,2023-08-06T01:56:53Z,19,11,44,https://api.ldjam.com/vx/node2/get/26104+9897+11750+5086,/events/ludum-dare/44/escape-from-the-mint,[],108.97247358852,10,28.5,25,4.261,11,4.174,24,4.326,7,4.152,36,3.717,444,3.761,159,3.348,257,3.587,328,15.758369027902
148136,A Cup's Life,"[141474, 148123, 141462]",3,a-cups-life,2019-04-29T15:47:30Z,2019-04-26T20:54:35Z,2023-08-06T01:56:53Z,58,12,44,https://api.ldjam.com/vx/node2/get/141474+148123+141462,/events/ludum-dare/44/a-cups-life,[],66.099280461965,28,29,67.375,4.25,12,4.015,53,3.561,207,3.818,180,4.647,20,4.341,13,3.861,82,4.214,42,-20.697741121365
153694,Seed.,"[12875, 12974, 51401]",3,seed,2019-04-29T22:17:35Z,2019-04-29T21:36:57Z,2023-08-06T01:56:53Z,66,13,44,https://api.ldjam.com/vx/node2/get/12875+12974+51401,/events/ludum-dare/44/seed,[],31.968613326725,13,9.875,97.625,4.247,13,4.015,53,4.162,13,3.99,91,4.131,189,3.99,71,3,431,4.321,22,-61.084053820419
145612,Journey Through the Blood Tribe Lands,"[16712, 77764, 16672, 52298, 77509]",5,journey-through-the-blood-tribe-lands,2019-04-30T00:54:32Z,2019-04-25T07:13:38Z,2023-08-06T01:56:53Z,52,14,44,https://api.ldjam.com/vx/node2/get/16712+77764+16672+52298+77509,/events/ludum-dare/44/journey-through-the-blood-tribe-lands,[],142.3000614168,10,91.375,46.125,4.244,14,4.356,4,3.956,40,4.182,28,4.033,258,4.17,29,3.268,297,3.773,191,8.6105273387141
