id,name,author,slug,published,created,modified,path,comments,game_position,ludum_dare_version,cool,feedback,given,grade,grade-01-average,grade-01-result,grade-02-average,grade-02-result,grade-03-average,grade-03-result,grade-04-average,grade-04-result,grade-05-average,grade-05-result,grade-06-average,grade-06-result,grade-07-average,grade-07-result,grade-08-average,grade-08-result,smart
252823,Fallumns,12262,fallumns,2021-04-27T01:40:54Z,2021-04-27T01:38:19Z,2023-05-19T04:38:20Z,/events/ludum-dare/48/fallumns,74,1,48,75.755635144573,16,29.125,59.142857142857,4.621,1,4.5,6,4.44,15,4.474,29,4.207,315,,,3.88,153,4.134,201,-48.177501899035
234282,Below the Ocean,80860,below-the-ocean,2021-04-27T00:45:44Z,2021-03-04T19:33:03Z,2023-05-19T04:38:20Z,/events/ludum-dare/48/below-the-ocean,209,2,48,97.72410142846,171,95.5,178.71428571429,4.613,2,4.582,2,4.458,10,4.232,146,4.517,79,4.452,18,,,4.534,21,-41.311327046175
243823,The Space Between Us,54550,jam-a-llamas-game-ldjam-48,2021-04-27T00:49:23Z,2021-04-23T14:51:19Z,2023-05-19T04:38:20Z,/events/ludum-dare/48/jam-a-llamas-game-ldjam-48,33,3,48,129.29198703109,56,56,34.5,4.606,3,4.5,6,3.938,190,3.818,682,4.848,1,4.719,1,4.516,9,4.682,4,1.1834731470275
240874,TAILSPIN!,181480,tailspin,2021-04-27T00:32:09Z,2021-04-21T01:04:40Z,2023-05-19T04:38:20Z,/events/ludum-dare/48/tailspin,56,4,48,65.016377456295,37,33.5,80.25,4.494,4,4.481,9,3.9,221,4,406,4.679,23,4.369,38,3.399,400,4.08,237,-36.180345282449
251937,Boombox,5221,boombox,2021-04-27T00:33:26Z,2021-04-26T22:29:32Z,2023-05-19T04:38:20Z,/events/ludum-dare/48/boombox,97,5,48,100,135,175.125,117.85714285714,4.487,5,4.513,5,4.353,35,4.189,179,4.727,14,,,3.76,199,4.168,171,-29.655551107851
252062,DEEP GOLF,223588,deep-golf-1,2021-04-27T00:07:55Z,2021-04-26T23:06:29Z,2023-05-19T04:38:20Z,/events/ludum-dare/48/deep-golf-1,26,6,48,65.295986794541,21,13.75,33.25,4.484,6,4.672,1,3.75,337,4.031,366,4.313,212,4.531,7,3.135,555,4.188,151,-16.463078425243
244825,Crust,219252,crust,2021-04-27T01:06:09Z,2021-04-23T20:49:40Z,2023-05-19T04:38:20Z,/events/ludum-dare/48/crust,79,7,48,107.49180052212,140,90.125,90.285714285714,4.483,7,4.27,37,4.017,145,4.176,192,4.685,22,4.594,3,,,4.59,7,-16.526406959632
246841,Autumn Hike,56661,autumn-hike,2021-04-26T21:14:56Z,2021-04-24T08:12:28Z,2023-05-19T04:38:20Z,/events/ludum-dare/48/autumn-hike,48,8,48,92.98541933877,42,49.5,58.25,4.455,8,4.339,23,4.527,6,4.679,2,4.36,172,4.175,99,4.232,53,4.286,99,-23.645828442907
233395,Dome Romantik,12833,dome-romantik,2021-04-27T00:53:22Z,2021-02-10T09:28:58Z,2023-08-31T09:48:21Z,/events/ludum-dare/48/dome-romantik,177,9,48,54.543560573179,36,29.75,277.83333333333,4.435,9,4.275,35,3.989,160,4.397,50,4.582,56,,,,,4.442,51,-66.9346312813
250827,Gecko Dive,250825,gecko-dive,2021-04-26T13:37:12Z,2021-04-26T13:01:05Z,2023-05-19T04:38:20Z,/events/ludum-dare/48/gecko-dive,48,10,48,90.442110108615,69,45.5,56.625,4.43,10,4.272,36,3.893,231,3.446,1171,4.614,43,3.991,187,2.83,783,4.173,166,-8.1114979896518
