id,name,author,team_size,slug,published,created,modified,comments,game_position,ludum_dare_version,data_authors,game_link,links_body,cool,feedback,given,grade,grade-01-average,grade-01-result,grade-02-average,grade-02-result,grade-03-average,grade-03-result,grade-04-average,grade-04-result,grade-05-average,grade-05-result,grade-06-average,grade-06-result,grade-07-average,grade-07-result,grade-08-average,grade-08-result,smart
168568,Lost in Translation,[301],1,lost-in-translation,2019-10-07T22:57:45Z,2019-10-04T22:51:07Z,2024-08-06T07:18:54Z,40,1,45,https://api.ldjam.com/vx/node2/get/301,/events/ludum-dare/45/lost-in-translation,[],102.88394618685,24,24.875,28,4.577,1,4.462,2,4.796,1,4.648,1,4.385,58,,,4.22,19,4.56,2,6.5183263394325
160918,MINUTES TO SHIP,[127334],1,minutes-to-ship,2019-10-07T22:07:07Z,2019-09-17T20:18:11Z,2024-08-06T07:18:54Z,24,2,45,https://api.ldjam.com/vx/node2/get/127334,/events/ludum-dare/45/minutes-to-ship,"['https://hydezeke.itch.io/minute-to-ship', 'https://twitter.com/hydezeke']",82.416338369213,18,18,27.5,4.481,2,4.423,3,4.654,2,4.635,2,4.25,112,4.08,50,4.577,1,4.478,9,-0.91326113862755
166584,B4 THIS,[166576],1,b4-this,2019-10-07T21:53:01Z,2019-10-04T13:47:29Z,2024-08-06T07:18:54Z,23,3,45,https://api.ldjam.com/vx/node2/get/166576,/events/ludum-dare/45/b4-this,"['https://cafearatus.itch.io/b4-this', 'https://www.youtube.com/watch?v=-_LsLxmf-eA', 'https://twitter.com/cafearatus']",88.19171036882,15,15.75,21.25,4.475,3,3.5,379,4.1,58,4.075,98,4.65,8,4.675,1,3.375,,4.684,1,4.6000787312717
172516,Fanfare Fantasy,"[78091, 147875, 172591]",3,fanfare-fantasy,2019-10-07T21:51:45Z,2019-10-07T15:54:09Z,2024-08-06T07:18:54Z,38,4,45,https://api.ldjam.com/vx/node2/get/78091+147875+172591,/events/ludum-dare/45/fanfare-fantasy,"['https://twitter.com/valdenthoranar', 'https://twitter.com/BS_Reblys', 'https://twitter.com/MapleGecko']",106.82586159672,45,60.625,54.125,4.433,4,4.283,9,4.029,72,4.077,97,4.189,146,4.577,3,3.808,105,4.298,25,15.20551728461
165195,Sabotage,[4795],1,sabotage,2019-10-07T21:43:43Z,2019-10-03T11:48:27Z,2024-08-06T07:18:54Z,46,5,45,https://api.ldjam.com/vx/node2/get/4795,/events/ludum-dare/45/sabotage,"['http://deepnight.net/files/games/ld45-sabotage/sabotage.win.zip', 'https://deepnight.net/games/sabotage/']",60.850884863568,29,19.625,61.714285714286,4.425,5,4.533,1,3.433,382,4.133,76,4.583,14,,,4.342,10,4.121,59,-31.960596231917
169604,Words With Foes: Quest for the Lexinomicon,"[9004, 133039, 9780, 1818, 1068]",5,words-with-foes-quest-for-the-lexinomicon,2019-10-07T22:05:26Z,2019-10-05T13:31:53Z,2024-08-06T07:18:54Z,45,5,45,https://api.ldjam.com/vx/node2/get/9004+133039+9780+1818+1068,/events/ludum-dare/45/words-with-foes-quest-for-the-lexinomicon,[],99.795291494634,74,60.875,62.125,4.425,5,4.254,16,4.05,68,3.825,201,4.385,58,4.125,42,4,51,4.167,48,16.027076143686
171111,Nothing,[33420],1,nothing-2,2019-10-06T18:01:20Z,2019-10-06T17:38:02Z,2024-08-06T07:18:54Z,110,7,45,https://api.ldjam.com/vx/node2/get/33420,/events/ludum-dare/45/nothing-2,['https://i.imgur.com/GSn5yTW.gif'],57.008771254957,50,32.5,136.42857142857,4.422,7,4.235,21,3.779,168,4.293,30,4.478,34,,,4.087,41,4.046,83,-36.903195595864
166670,HUMAN,[147726],1,human-2,2019-10-07T21:56:19Z,2019-10-04T14:38:54Z,2024-08-06T07:18:54Z,36,8,45,https://api.ldjam.com/vx/node2/get/147726,/events/ludum-dare/45/human-2,"['https://youtu.be/-sH2s8n2eU8', 'https://chevyray.itch.io/pixel-fonts']",110.71614388213,18,42.75,41,4.397,8,4.295,8,4,74,4.218,48,4.385,58,4.154,36,,,4.385,14,12.347457556957
172220,"I Have No Mouth, And I Must Create Blocks On All Sides Of Me","[172134, 57118]",2,i-have-no-mouth-and-i-must-create-blocks-on-all-sides-of-me,2019-10-07T15:44:35Z,2019-10-07T10:47:32Z,2024-08-06T07:18:54Z,20,9,45,https://api.ldjam.com/vx/node2/get/172134+57118,/events/ludum-dare/45/i-have-no-mouth-and-i-must-create-blocks-on-all-sides-of-me,[],73.379938570534,0,10.5,20.5,4.395,9,4.237,20,3.974,90,3.789,223,3.684,459,3.5,300,2.5,,3.333,561,-31.686994893603
159390,Soulbound,"[9110, 122697, 164990]",3,soulbound,2019-10-07T22:12:17Z,2019-08-26T19:42:34Z,2024-08-06T07:18:54Z,35,10,45,https://api.ldjam.com/vx/node2/get/9110+122697+164990,/events/ludum-dare/45/soulbound,[],107.9343858547,25,43.25,38.125,4.365,10,4.297,7,4.297,25,3.608,358,3.947,288,4.014,65,2.797,525,3.926,132,15.729829315494
159424,A_semblance,[98333],1,a-semblance,2019-10-07T22:25:32Z,2019-08-27T10:29:31Z,2024-08-06T07:18:54Z,30,11,45,https://api.ldjam.com/vx/node2/get/98333,/events/ludum-dare/45/a-semblance,[],89.319321406237,13,27.125,40,4.355,11,3.895,118,3.539,310,4.342,23,4.628,9,4.316,10,,,4.324,20,-8.8821140730182
171934,Nothing to Say,"[5018, 7865]",2,nothing-to-say,2019-10-07T21:09:50Z,2019-10-07T02:55:44Z,2024-08-06T07:18:54Z,102,12,45,https://api.ldjam.com/vx/node2/get/5018+7865,/events/ludum-dare/45/nothing-to-say,"['https://ldjam.com/users/celia14', 'http://ludumdare.com/compo/ludum-dare-26/?action=preview&uid=7352', 'https://celia14.itch.io/nothing-to-say', 'https://www.inklestudios.com/ink/', 'https://ldjam.com/users/rose']",39.210967853395,23,15.375,148.33333333333,4.351,12,4.048,57,4.312,21,4.5,5,4.357,68,,,,,4.217,44,-59.924125746141
171880,Palely,"[104697, 105243, 104904, 172996]",4,palely,2019-10-07T21:55:55Z,2019-10-07T01:31:21Z,2024-08-06T07:18:54Z,61,13,45,https://api.ldjam.com/vx/node2/get/104697+105243+104904+172996,/events/ludum-dare/45/palely,[],101.65300454651,13,54.25,61.142857142857,4.342,13,4.008,76,4.623,3,4.311,28,4.718,4,,,2.931,456,4.383,15,-6.8697384625433
161353,Draw Your Own Adventure!,"[52839, 53290, 54289, 142341]",4,draw-your-own-adventure,2019-10-07T21:50:55Z,2019-09-21T23:05:59Z,2024-08-06T07:18:54Z,62,14,45,https://api.ldjam.com/vx/node2/get/52839+53290+54289+142341,/events/ludum-dare/45/draw-your-own-adventure,"['https://twitter.com/Natashius', 'https://twitter.com/DetectiveLosos', 'https://twitter.com/owl_annie', 'https://twitter.com/morel_8ight']",89.698391996276,82,65.875,82.875,4.34,14,4.086,47,4.204,39,3.813,206,4.463,38,4.191,25,4.259,15,4.123,57,0.90499582190259
173197,Ahoy!,"[11922, 165015, 174193, 9562, 172778, 13460]",6,ahoy,2019-10-07T22:10:20Z,2019-10-07T21:05:37Z,2024-08-06T07:18:54Z,43,15,45,https://api.ldjam.com/vx/node2/get/11922+165015+174193+9562+172778+13460,/events/ludum-dare/45/ahoy,['https://tiptoe.itch.io/ahoy'],111.17092407178,9,60.25,56.857142857143,4.336,15,4.273,12,3.917,110,4.345,22,4.6,12,,,3.536,190,3.964,117,-2.9445875470113
163727,The Dolphin of Sooth,[5793],1,the-dolphin-of-sooth,2019-10-07T22:19:01Z,2019-10-01T07:45:50Z,2024-08-06T07:18:54Z,24,16,45,https://api.ldjam.com/vx/node2/get/5793,/events/ludum-dare/45/the-dolphin-of-sooth,[],82.314645929989,26,18.125,27.75,4.327,16,3.654,255,3.26,489,3.759,239,4.231,125,4.231,18,3.917,78,4.25,32,4.0484836819919
172639,Flubby Farm,"[2693, 129607, 135701, 162875]",4,flubby-farm,2019-10-07T21:59:09Z,2019-10-07T17:19:52Z,2024-08-06T07:18:54Z,50,17,45,https://api.ldjam.com/vx/node2/get/2693+129607+135701+162875,/events/ludum-dare/45/flubby-farm,[],102.65426104412,42,53.875,52.125,4.314,17,4.225,22,4.039,71,4.186,61,4.216,130,3.961,85,3.567,176,4.11,63,16.709481694959
162688,In the Beginning,[101641],1,in-the-beginning-3,2019-10-07T21:42:00Z,2019-09-28T23:29:08Z,2024-08-06T07:18:54Z,17,18,45,https://api.ldjam.com/vx/node2/get/101641,/events/ludum-dare/45/in-the-beginning-3,['https://twitter.com/GibsCake'],110.01033009346,13,26.625,26.285714285714,4.313,18,3.771,169,4.146,47,4.479,7,4.042,242,4.022,63,2.5,,4.25,32,11.205515450749
166128,TRIGGORE,"[37078, 12729]",2,triggore,2019-10-07T22:57:02Z,2019-10-04T06:38:56Z,2024-08-06T07:18:54Z,48,19,45,https://api.ldjam.com/vx/node2/get/37078+12729,/events/ludum-dare/45/triggore,[],51.401255759971,0,21.5,82.375,4.299,19,4.201,26,3.813,152,3.216,638,4.409,48,4.22,20,3.097,369,4.354,18,-55.14806685958
159794,Orudo Taima,"[8851, 163739]",2,orudo-taima,2019-10-07T22:46:22Z,2019-09-03T01:08:57Z,2024-08-06T07:18:54Z,30,20,45,https://api.ldjam.com/vx/node2/get/8851+163739,/events/ludum-dare/45/orudo-taima,"['https://twitter.com/GuttyKreum', 'https://twitter.com/VegaMukiwa']",99.637022395714,24,34.25,35.5,4.297,20,4.029,64,3.515,323,3.632,340,4.569,15,4.303,11,3.5,201,4.227,38,11.803398874989
159484,I ain't got no body,"[630, 2776]",2,i-aint-got-no-body,2019-10-07T20:07:01Z,2019-08-28T15:31:59Z,2024-08-06T07:18:54Z,19,21,45,https://api.ldjam.com/vx/node2/get/630+2776,/events/ludum-dare/45/i-aint-got-no-body,"['https://incompetech.com', 'http://creativecommons.org/licenses/by/4.0/', 'https://filmmusic.io']",62.479943305896,6,9.125,27.857142857143,4.269,21,4.135,38,3.942,101,4.192,58,4.692,6,,,4.231,18,4.3,23,-35.733598853665
159766,Paint Rush,"[445, 66225, 5435, 116230]",4,paint-rush,2019-10-07T21:46:48Z,2019-09-02T19:43:11Z,2024-08-06T07:18:54Z,44,22,45,https://api.ldjam.com/vx/node2/get/445+66225+5435+116230,/events/ludum-dare/45/paint-rush,"['https://twitter.com/RomainRope', 'https://twitter.com/DenizetLouis', 'https://twitter.com/EkilibrMc', 'https://twitter.com/Skreed3']",76.277007139647,25,32,56,4.268,22,4.375,4,4.214,35,4.089,92,4.373,63,4.173,32,3.229,303,4.104,64,-11.252570771372
164882,Finished Raccoon Bikini Game,"[123374, 142658, 164901, 165299]",4,finished-racoon-bikini-game,2019-10-07T21:41:53Z,2019-10-02T23:40:06Z,2024-08-06T07:18:54Z,33,23,45,https://api.ldjam.com/vx/node2/get/123374+142658+164901+165299,/events/ludum-dare/45/finished-racoon-bikini-game,[],105.28661509342,36,35.75,38,4.264,23,4.25,17,4.083,61,3.778,230,4.208,136,,,4.25,16,3.861,176,17.396981571296
