author,overall_score,total_entries,average_team_size,unique_events,unique_games,Overall_score,Fun_score,Innovation_score,Theme_score,Graphics_score,Audio_score,Humor_score,Mood_score,Overall_rank,Fun_rank,Innovation_rank,Theme_rank,Graphics_rank,Audio_rank,Humor_rank,Mood_rank,game_link,ludum_events,rank
195651,3.96869,1,1.0,1,1,4.17,4.114,4.023,2.898,4.455,,,4.535,88.0,81.0,139.0,1646.0,110.0,,,20.0,{'/events/ludum-dare/48/of-void'},{48},2318
265207,3.968679999999999,1,6.0,1,1,4.061,3.708,3.666,4.08,4.536,4.175,3.164,4.122,106.0,326.0,324.0,207.0,62.0,65.0,540.0,129.0,{'/events/ludum-dare/50/battery-low'},{50},2319
265202,3.968679999999999,1,6.0,1,1,4.061,3.708,3.666,4.08,4.536,4.175,3.164,4.122,106.0,326.0,324.0,207.0,62.0,65.0,540.0,129.0,{'/events/ludum-dare/50/battery-low'},{50},2319
314034,3.96797,1,5.0,1,1,4.243,4.037,4.112,4.324,4.066,,4.076,4.162,26.0,58.0,38.0,53.0,196.0,,41.0,54.0,{'/events/ludum-dare/52/pseudo-harvest'},{52},2321
314035,3.96797,1,5.0,1,1,4.243,4.037,4.112,4.324,4.066,,4.076,4.162,26.0,58.0,38.0,53.0,196.0,,41.0,54.0,{'/events/ludum-dare/52/pseudo-harvest'},{52},2321
314030,3.96797,1,5.0,1,1,4.243,4.037,4.112,4.324,4.066,,4.076,4.162,26.0,58.0,38.0,53.0,196.0,,41.0,54.0,{'/events/ludum-dare/52/pseudo-harvest'},{52},2321
314033,3.96797,1,5.0,1,1,4.243,4.037,4.112,4.324,4.066,,4.076,4.162,26.0,58.0,38.0,53.0,196.0,,41.0,54.0,{'/events/ludum-dare/52/pseudo-harvest'},{52},2321
313829,3.96797,1,5.0,1,1,4.243,4.037,4.112,4.324,4.066,,4.076,4.162,26.0,58.0,38.0,53.0,196.0,,41.0,54.0,{'/events/ludum-dare/52/pseudo-harvest'},{52},2321
240777,3.96774,1,4.0,1,1,4.05,3.824,3.821,4.38,4.373,3.761,3.543,3.906,166.0,281.0,279.0,62.0,162.0,378.0,310.0,391.0,{'/events/ludum-dare/48/dwammings'},{48},2326
239921,3.96774,1,4.0,1,1,4.05,3.824,3.821,4.38,4.373,3.761,3.543,3.906,166.0,281.0,279.0,62.0,162.0,378.0,310.0,391.0,{'/events/ludum-dare/48/dwammings'},{48},2326
215997,3.96774,1,4.0,1,1,4.05,3.824,3.821,4.38,4.373,3.761,3.543,3.906,166.0,281.0,279.0,62.0,162.0,378.0,310.0,391.0,{'/events/ludum-dare/48/dwammings'},{48},2326
265131,3.967725,4,4.75,4,4,4.0475,3.668,3.7402499999999996,4.03725,4.59925,4.317,3.202,4.141,134.0,375.5,272.25,289.75,42.25,68.5,491.5,107.5,"{'/events/ludum-dare/49/deepwell-safety-inc', '/events/ludum-dare/54/sustaining', '/events/ludum-dare/55/phone-of-dragon', '/events/ludum-dare/51/solustella'}","{49, 51, 54, 55}",2329
32592,3.96769,1,3.0,1,1,4.047,3.581,4.337,4.395,4.682,3.744,3.75,4.134,115.0,377.0,15.0,38.0,24.0,219.0,160.0,103.0,{'/events/ludum-dare/56/tinygotchi-creatures'},{56},2330
58399,3.96769,1,3.0,1,1,4.047,3.581,4.337,4.395,4.682,3.744,3.75,4.134,115.0,377.0,15.0,38.0,24.0,219.0,160.0,103.0,{'/events/ludum-dare/56/tinygotchi-creatures'},{56},2330
62123,3.96769,1,3.0,1,1,4.047,3.581,4.337,4.395,4.682,3.744,3.75,4.134,115.0,377.0,15.0,38.0,24.0,219.0,160.0,103.0,{'/events/ludum-dare/56/tinygotchi-creatures'},{56},2330
263449,3.96762,1,3.0,1,1,4.047,3.8,4.15,2.85,4.25,4.05,3.556,4.233,128.0,314.0,57.0,1294.0,219.0,119.0,362.0,68.0,{'/events/ludum-dare/49/snoozle'},{49},2333
272431,3.96762,1,3.0,1,1,4.047,3.8,4.15,2.85,4.25,4.05,3.556,4.233,128.0,314.0,57.0,1294.0,219.0,119.0,362.0,68.0,{'/events/ludum-dare/49/snoozle'},{49},2333
271789,3.96762,1,3.0,1,1,4.047,3.8,4.15,2.85,4.25,4.05,3.556,4.233,128.0,314.0,57.0,1294.0,219.0,119.0,362.0,68.0,{'/events/ludum-dare/49/snoozle'},{49},2333
295287,3.96755,1,2.0,1,1,4.305,4.232,4.5,3.798,3.976,,3.675,3.513,25.0,25.0,3.0,447.0,339.0,,191.0,546.0,{'/events/ludum-dare/56/drawer-sheep'},{56},2336
401719,3.96755,1,2.0,1,1,4.305,4.232,4.5,3.798,3.976,,3.675,3.513,25.0,25.0,3.0,447.0,339.0,,191.0,546.0,{'/events/ludum-dare/56/drawer-sheep'},{56},2336
161691,3.96739,2,2.5,2,2,3.9945,3.867,4.3445,4.0355,4.1475,3.7524999999999995,4.025,3.935,121.5,152.5,12.5,236.5,195.5,181.5,56.5,163.5,"{'/events/ludum-dare/52/the-domino-surgery', '/events/ludum-dare/56/flea-circus'}","{56, 52}",2338
300020,3.96729,1,5.0,1,1,4.0,3.671,3.5,4.588,4.743,4.029,3.886,4.129,160.0,381.0,434.0,8.0,8.0,117.0,149.0,111.0,{'/events/ludum-dare/55/creature-conjurers'},{55},2339
299869,3.96729,1,5.0,1,1,4.0,3.671,3.5,4.588,4.743,4.029,3.886,4.129,160.0,381.0,434.0,8.0,8.0,117.0,149.0,111.0,{'/events/ludum-dare/55/creature-conjurers'},{55},2339
385978,3.96729,1,5.0,1,1,4.0,3.671,3.5,4.588,4.743,4.029,3.886,4.129,160.0,381.0,434.0,8.0,8.0,117.0,149.0,111.0,{'/events/ludum-dare/55/creature-conjurers'},{55},2339
351557,3.96729,1,5.0,1,1,4.0,3.671,3.5,4.588,4.743,4.029,3.886,4.129,160.0,381.0,434.0,8.0,8.0,117.0,149.0,111.0,{'/events/ludum-dare/55/creature-conjurers'},{55},2339
302152,3.96729,1,5.0,1,1,4.0,3.671,3.5,4.588,4.743,4.029,3.886,4.129,160.0,381.0,434.0,8.0,8.0,117.0,149.0,111.0,{'/events/ludum-dare/55/creature-conjurers'},{55},2339
21129,3.9672733333333334,3,4.333333333333333,3,3,4.031666666666666,3.9873333333333334,3.9003333333333337,4.167333333333334,4.148333333333333,2.715666666666667,3.8989999999999996,3.997666666666666,138.66666666666666,108.33333333333333,354.3333333333333,208.33333333333334,357.3333333333333,66.33333333333333,272.6666666666667,316.3333333333333,"{'/events/ludum-dare/46/larvalove', '/events/ludum-dare/50/floody-hell', '/events/ludum-dare/44/your-last-10-seconds'}","{50, 44, 46}",2344
263407,3.9670566666666662,3,3.0,3,3,4.057666666666666,4.088333333333333,3.2880000000000003,4.033666666666666,3.734666666666667,3.687333333333333,4.199,3.920666666666667,129.66666666666666,95.66666666666667,617.3333333333334,318.3333333333333,521.0,271.6666666666667,58.0,251.0,"{'/events/ludum-dare/54/cosmic-cargo-chaos', '/events/ludum-dare/56/hairdivers', '/events/ludum-dare/55/crazy-court-summons'}","{56, 54, 55}",2345
47388,3.9670449999999997,2,3.5,2,2,4.0415,4.0645,3.833,3.724,3.9414999999999996,3.8899999999999997,3.646,3.6870000000000003,133.0,77.5,176.5,387.5,465.5,172.5,212.0,444.0,"{'/events/ludum-dare/45/spacecrafter', '/events/ludum-dare/46/cloudy-with-a-chance-of-pain'}","{45, 46}",2346
281175,3.966639999999999,1,4.0,1,1,4.128,3.763,3.908,4.105,4.132,4.053,,4.311,67.0,271.0,139.0,190.0,299.0,114.0,,52.0,{'/events/ludum-dare/50/impending-darkness'},{50},2347
280759,3.966639999999999,1,4.0,1,1,4.128,3.763,3.908,4.105,4.132,4.053,,4.311,67.0,271.0,139.0,190.0,299.0,114.0,,52.0,{'/events/ludum-dare/50/impending-darkness'},{50},2347
280768,3.966639999999999,1,4.0,1,1,4.128,3.763,3.908,4.105,4.132,4.053,,4.311,67.0,271.0,139.0,190.0,299.0,114.0,,52.0,{'/events/ludum-dare/50/impending-darkness'},{50},2347
281174,3.966639999999999,1,4.0,1,1,4.128,3.763,3.908,4.105,4.132,4.053,,4.311,67.0,271.0,139.0,190.0,299.0,114.0,,52.0,{'/events/ludum-dare/50/impending-darkness'},{50},2347
146453,3.96635,2,4.5,2,2,4.05,4.0185,3.3745,3.88,4.2385,3.9530000000000003,1.962,3.818,94.0,88.5,497.0,266.0,189.5,130.0,83.0,275.0,"{'/events/ludum-dare/45/project-bind', '/events/ludum-dare/50/donts-sleep'}","{50, 45}",2351
138811,3.965915,2,8.5,2,2,4.0425,3.8529999999999998,3.651,3.9135,4.355499999999999,4.1114999999999995,3.737,3.894,145.5,223.5,385.0,472.0,175.0,105.5,250.5,357.5,"{'/events/ludum-dare/48/deep-cover-1', '/events/ludum-dare/50/mythic-garden'}","{48, 50}",2352
11465,3.965915,2,8.5,2,2,4.0425,3.8529999999999998,3.651,3.9135,4.355499999999999,4.1114999999999995,3.737,3.894,145.5,223.5,385.0,472.0,175.0,105.5,250.5,357.5,"{'/events/ludum-dare/48/deep-cover-1', '/events/ludum-dare/50/mythic-garden'}","{48, 50}",2352
36198,3.9658999999999995,3,2.0,3,3,4.109333333333333,3.9919999999999995,4.086333333333333,3.794333333333334,3.9403333333333332,3.8096666666666668,0.8333333333333334,3.858333333333333,86.66666666666667,115.0,85.0,523.3333333333334,374.0,207.66666666666666,0.0,240.0,"{'/events/ludum-dare/49/quantum-split', '/events/ludum-dare/52/paper-druids', '/events/ludum-dare/47/load-save'}","{49, 52, 47}",2354
228122,3.9658999999999995,3,2.0,3,3,4.109333333333333,3.9919999999999995,4.086333333333333,3.794333333333334,3.9403333333333332,3.8096666666666668,0.8333333333333334,3.858333333333333,86.66666666666667,115.0,85.0,523.3333333333334,374.0,207.66666666666666,0.0,240.0,"{'/events/ludum-dare/49/quantum-split', '/events/ludum-dare/52/paper-druids', '/events/ludum-dare/47/load-save'}","{49, 52, 47}",2354
386265,3.96569,1,2.0,1,1,4.238,3.738,4.381,4.476,4.595,,2.464,4.571,51.0,322.0,14.0,30.0,38.0,,0.0,6.0,{'/events/ludum-dare/55/ritual-2'},{55},2356
78486,3.96569,1,2.0,1,1,4.238,3.738,4.381,4.476,4.595,,2.464,4.571,51.0,322.0,14.0,30.0,38.0,,0.0,6.0,{'/events/ludum-dare/55/ritual-2'},{55},2356
5864,3.96567,1,2.0,1,1,3.948,4.018,3.929,3.625,4.304,3.589,2.865,3.893,106.0,51.0,47.0,333.0,105.0,257.0,526.0,125.0,{'/events/ludum-dare/44/life-hunter'},{44},2358
6559,3.96567,1,2.0,1,1,3.948,4.018,3.929,3.625,4.304,3.589,2.865,3.893,106.0,51.0,47.0,333.0,105.0,257.0,526.0,125.0,{'/events/ludum-dare/44/life-hunter'},{44},2358
252321,3.9651699999999996,1,2.0,1,1,4.119,4.238,4.19,3.143,3.714,2.786,2.526,3.619,113.0,42.0,66.0,1478.0,873.0,1132.0,1018.0,738.0,{'/events/ludum-dare/48/sword-whisperer'},{48},2360
252298,3.9651699999999996,1,2.0,1,1,4.119,4.238,4.19,3.143,3.714,2.786,2.526,3.619,113.0,42.0,66.0,1478.0,873.0,1132.0,1018.0,738.0,{'/events/ludum-dare/48/sword-whisperer'},{48},2360
